student_id,course_code
24bcs001,CS162
24bcs001,CS164
24bcs001,CS163
24bcs001,CS165
24bcs001,HS204 / HS153
24bcs001,B1
24bcs001,B2
24bcs002,CS162
24bcs002,CS164
24bcs002,CS163
24bcs002,CS165
24bcs002,HS204 / HS153
24bcs002,B1
24bcs002,B2
24bcs003,CS162
24bcs003,CS164
24bcs003,CS163
24bcs003,CS165
24bcs003,HS204 / HS153
24bcs003,B1
24bcs003,B2
24bcs004,CS162
24bcs004,CS164
24bcs004,CS163
24bcs004,CS165
24bcs004,HS204 / HS153
24bcs004,B1
24bcs004,B2
24bcs005,CS162
24bcs005,CS164
24bcs005,CS163
24bcs005,CS165
24bcs005,HS204 / HS153
24bcs005,B1
24bcs005,B2
24bcs006,CS162
24bcs006,CS164
24bcs006,CS163
24bcs006,CS165
24bcs006,HS204 / HS153
24bcs006,B1
24bcs006,B2
24bcs007,CS162
24bcs007,CS164
24bcs007,CS163
24bcs007,CS165
24bcs007,HS204 / HS153
24bcs007,B1
24bcs007,B2
24bcs008,CS162
24bcs008,CS164
24bcs008,CS163
24bcs008,CS165
24bcs008,HS204 / HS153
24bcs008,B1
24bcs008,B2
24bcs009,CS162
24bcs009,CS164
24bcs009,CS163
24bcs009,CS165
24bcs009,HS204 / HS153
24bcs009,B1
24bcs009,B2
24bcs010,CS162
24bcs010,CS164
24bcs010,CS163
24bcs010,CS165
24bcs010,HS204 / HS153
24bcs010,B1
24bcs010,B2
24bcs011,CS162
24bcs011,CS164
24bcs011,CS163
24bcs011,CS165
24bcs011,HS204 / HS153
24bcs011,B1
24bcs011,B2
24bcs012,CS162
24bcs012,CS164
24bcs012,CS163
24bcs012,CS165
24bcs012,HS204 / HS153
24bcs012,B1
24bcs012,B2
24bcs013,CS162
24bcs013,CS164
24bcs013,CS163
24bcs013,CS165
24bcs013,HS204 / HS153
24bcs013,B1
24bcs013,B2
24bcs014,CS162
24bcs014,CS164
24bcs014,CS163
24bcs014,CS165
24bcs014,HS204 / HS153
24bcs014,B1
24bcs014,B2
